待翻译: 17922 条 (样本=0, 限制=0)
共 1793 批, 并发 6
进度 10/17922 | 输入 609 tok | 输出 322 tok | 费用 ¥0.0013 | 2s
进度 2960/17922 | 输入 410549 tok | 输出 306336 tok | 费用 ¥1.0232 | 310s
进度 2970/17922 | 输入 412860 tok | 输出 308262 tok | 费用 ¥1.0294 | 313s
进度 2980/17922 | 输入 414649 tok | 输出 309690 tok | 费用 ¥1.0340 | 315s
进度 2990/17922 | 输入 416652 tok | 输出 311333 tok | 费用 ¥1.0393 | 318s
进度 3000/17922 | 输入 418755 tok | 输出 313047 tok | 费用 ¥1.0448 | 319s
进度 3010/17922 | 输入 420876 tok | 输出 314703 tok | 费用 ¥1.0503 | 319s
进度 3020/17922 | 输入 422976 tok | 输出 316431 tok | 费用 ¥1.0558 | 320s
进度 3030/17922 | 输入 425047 tok | 输出 318152 tok | 费用 ¥1.0614 | 322s
进度 3040/17922 | 输入 426195 tok | 输出 318925 tok | 费用 ¥1.0640 | 323s
进度 3050/17922 | 输入 428641 tok | 输出 321033 tok | 费用 ¥1.0707 | 327s
进度 3060/17922 | 输入 430514 tok | 输出 322573 tok | 费用 ¥1.0757 | 327s
进度 3070/17922 | 输入 432624 tok | 输出 324342 tok | 费用 ¥1.0813 | 329s
进度 3080/17922 | 输入 434498 tok | 输出 325858 tok | 费用 ¥1.0862 | 331s
进度 3090/17922 | 输入 436472 tok | 输出 327481 tok | 费用 ¥1.0914 | 331s
进度 3100/17922 | 输入 439424 tok | 输出 330017 tok | 费用 ¥1.0995 | 333s
进度 3110/17922 | 输入 441377 tok | 输出 331624 tok | 费用 ¥1.1046 | 336s
进度 3120/17922 | 输入 443229 tok | 输出 333133 tok | 费用 ¥1.1095 | 336s
进度 3130/17922 | 输入 444598 tok | 输出 334148 tok | 费用 ¥1.1129 | 337s
进度 3140/17922 | 输入 446686 tok | 输出 335849 tok | 费用 ¥1.1184 | 338s
进度 3150/17922 | 输入 448256 tok | 输出 337067 tok | 费用 ¥1.1224 | 338s
进度 3160/17922 | 输入 449435 tok | 输出 337908 tok | 费用 ¥1.1253 | 338s
进度 3170/17922 | 输入 450665 tok | 输出 338779 tok | 费用 ¥1.1282 | 342s
进度 3180/17922 | 输入 452252 tok | 输出 340010 tok | 费用 ¥1.1323 | 343s
进度 3190/17922 | 输入 453573 tok | 输出 340976 tok | 费用 ¥1.1355 | 344s
进度 3200/17922 | 输入 454864 tok | 输出 341931 tok | 费用 ¥1.1387 | 344s
进度 3210/17922 | 输入 455589 tok | 输出 342362 tok | 费用 ¥1.1403 | 346s
进度 3220/17922 | 输入 456506 tok | 输出 342954 tok | 费用 ¥1.1424 | 347s
进度 3230/17922 | 输入 458821 tok | 输出 344920 tok | 费用 ¥1.1487 | 349s
进度 3240/17922 | 输入 461762 tok | 输出 347412 tok | 费用 ¥1.1566 | 351s
进度 3250/17922 | 输入 463905 tok | 输出 349136 tok | 费用 ¥1.1622 | 352s
进度 3260/17922 | 输入 466222 tok | 输出 351027 tok | 费用 ¥1.1683 | 354s
进度 3270/17922 | 输入 467724 tok | 输出 352172 tok | 费用 ¥1.1721 | 354s
进度 3280/17922 | 输入 469910 tok | 输出 353948 tok | 费用 ¥1.1778 | 357s
进度 3290/17922 | 输入 471753 tok | 输出 355392 tok | 费用 ¥1.1825 | 357s
进度 3300/17922 | 输入 473804 tok | 输出 357057 tok | 费用 ¥1.1879 | 361s
进度 3310/17922 | 输入 475590 tok | 输出 358549 tok | 费用 ¥1.1927 | 362s
进度 3320/17922 | 输入 478141 tok | 输出 360710 tok | 费用 ¥1.1996 | 362s
进度 3330/17922 | 输入 481250 tok | 输出 363508 tok | 费用 ¥1.2083 | 368s
进度 3340/17922 | 输入 483634 tok | 输出 365510 tok | 费用 ¥1.2147 | 369s
进度 3350/17922 | 输入 485596 tok | 输出 367091 tok | 费用 ¥1.2198 | 371s
进度 3360/17922 | 输入 487900 tok | 输出 368974 tok | 费用 ¥1.2258 | 373s
进度 3370/17922 | 输入 490514 tok | 输出 371098 tok | 费用 ¥1.2327 | 375s
进度 3380/17922 | 输入 491701 tok | 输出 371964 tok | 费用 ¥1.2356 | 376s
进度 3390/17922 | 输入 492309 tok | 输出 372285 tok | 费用 ¥1.2369 | 377s
进度 3400/17922 | 输入 494079 tok | 输出 373658 tok | 费用 ¥1.2414 | 378s
进度 3410/17922 | 输入 498486 tok | 输出 377652 tok | 费用 ¥1.2538 | 378s
进度 3420/17922 | 输入 501264 tok | 输出 379948 tok | 费用 ¥1.2612 | 381s
进度 3430/17922 | 输入 503139 tok | 输出 381436 tok | 费用 ¥1.2660 | 381s
进度 3440/17922 | 输入 504194 tok | 输出 382192 tok | 费用 ¥1.2686 | 382s
进度 3450/17922 | 输入 505543 tok | 输出 383199 tok | 费用 ¥1.2719 | 383s
进度 3460/17922 | 输入 507769 tok | 输出 385078 tok | 费用 ¥1.2779 | 388s
进度 3470/17922 | 输入 510209 tok | 输出 387102 tok | 费用 ¥1.2844 | 390s
进度 3480/17922 | 输入 512133 tok | 输出 388681 tok | 费用 ¥1.2895 | 392s
进度 3490/17922 | 输入 513001 tok | 输出 389223 tok | 费用 ¥1.2914 | 393s
进度 3500/17922 | 输入 515835 tok | 输出 391564 tok | 费用 ¥1.2990 | 395s
进度 3510/17922 | 输入 517830 tok | 输出 393242 tok | 费用 ¥1.3043 | 397s
进度 3520/17922 | 输入 521791 tok | 输出 397059 tok | 费用 ¥1.3159 | 400s
进度 3530/17922 | 输入 523262 tok | 输出 398184 tok | 费用 ¥1.3196 | 400s
进度 3540/17922 | 输入 527046 tok | 输出 401484 tok | 费用 ¥1.3300 | 400s
进度 3550/17922 | 输入 529176 tok | 输出 403221 tok | 费用 ¥1.3356 | 401s
进度 3560/17922 | 输入 529967 tok | 输出 403698 tok | 费用 ¥1.3374 | 404s
进度 3570/17922 | 输入 531681 tok | 输出 404952 tok | 费用 ¥1.3416 | 405s
进度 3580/17922 | 输入 533852 tok | 输出 406668 tok | 费用 ¥1.3472 | 405s
进度 3590/17922 | 输入 535030 tok | 输出 407531 tok | 费用 ¥1.3501 | 405s
进度 3600/17922 | 输入 536225 tok | 输出 408403 tok | 费用 ¥1.3530 | 410s
进度 3610/17922 | 输入 537458 tok | 输出 409307 tok | 费用 ¥1.3561 | 410s
进度 3620/17922 | 输入 538834 tok | 输出 410345 tok | 费用 ¥1.3595 | 411s
进度 3630/17922 | 输入 541115 tok | 输出 412311 tok | 费用 ¥1.3657 | 411s
进度 3640/17922 | 输入 541959 tok | 输出 412855 tok | 费用 ¥1.3677 | 413s
进度 3650/17922 | 输入 542634 tok | 输出 413246 tok | 费用 ¥1.3691 | 414s
进度 3660/17922 | 输入 543487 tok | 输出 413798 tok | 费用 ¥1.3711 | 414s
进度 3670/17922 | 输入 546657 tok | 输出 416470 tok | 费用 ¥1.3796 | 414s
进度 3680/17922 | 输入 548934 tok | 输出 418398 tok | 费用 ¥1.3857 | 414s
进度 3690/17922 | 输入 549887 tok | 输出 419035 tok | 费用 ¥1.3880 | 415s
进度 3700/17922 | 输入 550474 tok | 输出 419347 tok | 费用 ¥1.3892 | 416s
进度 3710/17922 | 输入 551409 tok | 输出 419967 tok | 费用 ¥1.3913 | 417s
进度 3720/17922 | 输入 552837 tok | 输出 421060 tok | 费用 ¥1.3950 | 420s
进度 3730/17922 | 输入 554708 tok | 输出 422620 tok | 费用 ¥1.3999 | 422s
进度 3740/17922 | 输入 556231 tok | 输出 423815 tok | 费用 ¥1.4039 | 422s
进度 3750/17922 | 输入 557541 tok | 输出 424842 tok | 费用 ¥1.4072 | 423s
进度 3760/17922 | 输入 559373 tok | 输出 426316 tok | 费用 ¥1.4120 | 423s
进度 3770/17922 | 输入 560628 tok | 输出 427307 tok | 费用 ¥1.4152 | 426s
进度 3780/17922 | 输入 561911 tok | 输出 428272 tok | 费用 ¥1.4185 | 427s
进度 3790/17922 | 输入 563087 tok | 输出 429064 tok | 费用 ¥1.4212 | 428s
进度 3800/17922 | 输入 566430 tok | 输出 432183 tok | 费用 ¥1.4308 | 429s
进度 3810/17922 | 输入 568004 tok | 输出 433348 tok | 费用 ¥1.4347 | 431s
进度 3820/17922 | 输入 570217 tok | 输出 435051 tok | 费用 ¥1.4403 | 432s
进度 3830/17922 | 输入 571261 tok | 输出 435787 tok | 费用 ¥1.4428 | 433s
进度 3840/17922 | 输入 572451 tok | 输出 436623 tok | 费用 ¥1.4457 | 434s
进度 3850/17922 | 输入 573474 tok | 输出 437329 tok | 费用 ¥1.4481 | 435s
进度 3860/17922 | 输入 575911 tok | 输出 439270 tok | 费用 ¥1.4545 | 437s
进度 3870/17922 | 输入 577006 tok | 输出 440046 tok | 费用 ¥1.4571 | 438s
进度 3880/17922 | 输入 579283 tok | 输出 441867 tok | 费用 ¥1.4630 | 439s
进度 3890/17922 | 输入 580463 tok | 输出 442733 tok | 费用 ¥1.4659 | 440s
进度 3900/17922 | 输入 582105 tok | 输出 444036 tok | 费用 ¥1.4702 | 440s
进度 3910/17922 | 输入 583296 tok | 输出 444903 tok | 费用 ¥1.4731 | 440s
进度 3920/17922 | 输入 584279 tok | 输出 445593 tok | 费用 ¥1.4755 | 442s
进度 3930/17922 | 输入 585019 tok | 输出 446046 tok | 费用 ¥1.4771 | 443s
进度 3940/17922 | 输入 586380 tok | 输出 447062 tok | 费用 ¥1.4805 | 443s
进度 3950/17922 | 输入 587498 tok | 输出 447877 tok | 费用 ¥1.4833 | 445s
进度 3960/17922 | 输入 588943 tok | 输出 449007 tok | 费用 ¥1.4870 | 445s
进度 3970/17922 | 输入 590137 tok | 输出 449863 tok | 费用 ¥1.4899 | 446s
进度 3980/17922 | 输入 591073 tok | 输出 450448 tok | 费用 ¥1.4920 | 446s
进度 3990/17922 | 输入 592354 tok | 输出 451401 tok | 费用 ¥1.4952 | 449s
进度 4000/17922 | 输入 593349 tok | 输出 452061 tok | 费用 ¥1.4975 | 449s
进度 4010/17922 | 输入 594695 tok | 输出 453070 tok | 费用 ¥1.5008 | 451s
进度 4020/17922 | 输入 596548 tok | 输出 454595 tok | 费用 ¥1.5057 | 452s
进度 4030/17922 | 输入 598128 tok | 输出 455810 tok | 费用 ¥1.5097 | 453s
进度 4040/17922 | 输入 599865 tok | 输出 457168 tok | 费用 ¥1.5142 | 454s
进度 4050/17922 | 输入 601447 tok | 输出 458377 tok | 费用 ¥1.5182 | 456s
进度 4060/17922 | 输入 602607 tok | 输出 459197 tok | 费用 ¥1.5210 | 456s
进度 4070/17922 | 输入 604382 tok | 输出 460587 tok | 费用 ¥1.5256 | 457s
进度 4080/17922 | 输入 605598 tok | 输出 461471 tok | 费用 ¥1.5285 | 457s
进度 4090/17922 | 输入 606660 tok | 输出 462163 tok | 费用 ¥1.5310 | 458s
进度 4100/17922 | 输入 607908 tok | 输出 463095 tok | 费用 ¥1.5341 | 458s
进度 4110/17922 | 输入 608710 tok | 输出 463604 tok | 费用 ¥1.5359 | 459s
进度 4120/17922 | 输入 609587 tok | 输出 464176 tok | 费用 ¥1.5379 | 462s
进度 4130/17922 | 输入 610938 tok | 输出 465204 tok | 费用 ¥1.5413 | 463s
进度 4140/17922 | 输入 612428 tok | 输出 466355 tok | 费用 ¥1.5451 | 463s
进度 4150/17922 | 输入 613698 tok | 输出 467293 tok | 费用 ¥1.5483 | 463s
进度 4160/17922 | 输入 615196 tok | 输出 468444 tok | 费用 ¥1.5521 | 463s
进度 4170/17922 | 输入 616408 tok | 输出 469333 tok | 费用 ¥1.5551 | 464s
进度 4180/17922 | 输入 617248 tok | 输出 469874 tok | 费用 ¥1.5570 | 466s
进度 4190/17922 | 输入 618064 tok | 输出 470390 tok | 费用 ¥1.5588 | 466s
  批次失败(第1次, 深度0): Expecting ',' delimiter: line 1 column 1480 (char 1479); 1s 后重试
进度 4200/17922 | 输入 619253 tok | 输出 471230 tok | 费用 ¥1.5617 | 468s
进度 4210/17922 | 输入 620471 tok | 输出 472146 tok | 费用 ¥1.5648 | 469s
进度 4220/17922 | 输入 621688 tok | 输出 473046 tok | 费用 ¥1.5678 | 469s
进度 4230/17922 | 输入 622683 tok | 输出 473719 tok | 费用 ¥1.5701 | 470s
进度 4240/17922 | 输入 623668 tok | 输出 474364 tok | 费用 ¥1.5724 | 471s
进度 4250/17922 | 输入 625065 tok | 输出 475436 tok | 费用 ¥1.5759 | 472s
进度 4260/17922 | 输入 626161 tok | 输出 476210 tok | 费用 ¥1.5786 | 472s
进度 4270/17922 | 输入 627277 tok | 输出 477003 tok | 费用 ¥1.5813 | 473s
进度 4280/17922 | 输入 628587 tok | 输出 477985 tok | 费用 ¥1.5846 | 475s
进度 4290/17922 | 输入 629715 tok | 输出 478817 tok | 费用 ¥1.5873 | 476s
进度 4300/17922 | 输入 631313 tok | 输出 480076 tok | 费用 ¥1.5915 | 477s
进度 4310/17922 | 输入 632605 tok | 输出 481065 tok | 费用 ¥1.5947 | 477s
进度 4320/17922 | 输入 633623 tok | 输出 481794 tok | 费用 ¥1.5972 | 477s
进度 4330/17922 | 输入 635268 tok | 输出 483093 tok | 费用 ¥1.6015 | 478s
进度 4340/17922 | 输入 636313 tok | 输出 483862 tok | 费用 ¥1.6040 | 480s
进度 4350/17922 | 输入 637078 tok | 输出 484325 tok | 费用 ¥1.6057 | 480s
进度 4360/17922 | 输入 637957 tok | 输出 484886 tok | 费用 ¥1.6077 | 481s
进度 4370/17922 | 输入 638887 tok | 输出 485515 tok | 费用 ¥1.6099 | 481s
进度 4380/17922 | 输入 640184 tok | 输出 486485 tok | 费用 ¥1.6132 | 482s
进度 4390/17922 | 输入 641605 tok | 输出 487597 tok | 费用 ¥1.6168 | 484s
进度 4400/17922 | 输入 642729 tok | 输出 488439 tok | 费用 ¥1.6196 | 484s
进度 4410/17922 | 输入 644002 tok | 输出 489434 tok | 费用 ¥1.6229 | 485s
进度 4420/17922 | 输入 645283 tok | 输出 490417 tok | 费用 ¥1.6261 | 487s
  批次失败(第1次, 深度0): Expecting ',' delimiter: line 1 column 2284 (char 2283); 1s 后重试
进度 4430/17922 | 输入 646462 tok | 输出 491318 tok | 费用 ¥1.6291 | 487s
进度 4440/17922 | 输入 647285 tok | 输出 491817 tok | 费用 ¥1.6309 | 488s
进度 4450/17922 | 输入 648087 tok | 输出 492315 tok | 费用 ¥1.6327 | 488s
进度 4460/17922 | 输入 648833 tok | 输出 492760 tok | 费用 ¥1.6344 | 489s
进度 4470/17922 | 输入 649514 tok | 输出 493152 tok | 费用 ¥1.6358 | 490s
进度 4480/17922 | 输入 650238 tok | 输出 493579 tok | 费用 ¥1.6374 | 491s
进度 4490/17922 | 输入 650959 tok | 输出 494000 tok | 费用 ¥1.6390 | 491s
进度 4500/17922 | 输入 651689 tok | 输出 494433 tok | 费用 ¥1.6406 | 492s
进度 4510/17922 | 输入 652615 tok | 输出 495065 tok | 费用 ¥1.6427 | 493s
进度 4520/17922 | 输入 653265 tok | 输出 495428 tok | 费用 ¥1.6441 | 493s
进度 4530/17922 | 输入 654576 tok | 输出 496412 tok | 费用 ¥1.6474 | 494s
进度 4540/17922 | 输入 655316 tok | 输出 496858 tok | 费用 ¥1.6490 | 494s
进度 4550/17922 | 输入 656225 tok | 输出 497464 tok | 费用 ¥1.6512 | 495s
进度 4560/17922 | 输入 657092 tok | 输出 498006 tok | 费用 ¥1.6531 | 495s
进度 4570/17922 | 输入 657904 tok | 输出 498501 tok | 费用 ¥1.6549 | 497s
进度 4580/17922 | 输入 658962 tok | 输出 499237 tok | 费用 ¥1.6574 | 498s
进度 4590/17922 | 输入 659986 tok | 输出 499927 tok | 费用 ¥1.6598 | 499s
进度 4600/17922 | 输入 660883 tok | 输出 500505 tok | 费用 ¥1.6619 | 499s
进度 4610/17922 | 输入 662060 tok | 输出 501329 tok | 费用 ¥1.6647 | 501s
进度 4620/17922 | 输入 664053 tok | 输出 502953 tok | 费用 ¥1.6700 | 501s
进度 4630/17922 | 输入 665032 tok | 输出 503584 tok | 费用 ¥1.6722 | 502s
进度 4640/17922 | 输入 666058 tok | 输出 504280 tok | 费用 ¥1.6746 | 502s
进度 4650/17922 | 输入 666703 tok | 输出 504626 tok | 费用 ¥1.6760 | 502s
进度 4660/17922 | 输入 667355 tok | 输出 504981 tok | 费用 ¥1.6773 | 504s
进度 4670/17922 | 输入 668388 tok | 输出 505670 tok | 费用 ¥1.6797 | 504s
进度 4680/17922 | 输入 669244 tok | 输出 506203 tok | 费用 ¥1.6816 | 505s
进度 4690/17922 | 输入 670177 tok | 输出 506798 tok | 费用 ¥1.6838 | 506s
进度 4700/17922 | 输入 671362 tok | 输出 507673 tok | 费用 ¥1.6867 | 508s
进度 4710/17922 | 输入 672607 tok | 输出 508621 tok | 费用 ¥1.6898 | 508s
进度 4720/17922 | 输入 673688 tok | 输出 509423 tok | 费用 ¥1.6925 | 509s
进度 4730/17922 | 输入 674925 tok | 输出 510360 tok | 费用 ¥1.6956 | 509s
进度 4740/17922 | 输入 675828 tok | 输出 510942 tok | 费用 ¥1.6977 | 510s
进度 4750/17922 | 输入 676929 tok | 输出 511697 tok | 费用 ¥1.7003 | 511s
进度 4760/17922 | 输入 677894 tok | 输出 512343 tok | 费用 ¥1.7026 | 512s
进度 4770/17922 | 输入 678791 tok | 输出 512915 tok | 费用 ¥1.7046 | 512s
进度 4780/17922 | 输入 679770 tok | 输出 513572 tok | 费用 ¥1.7069 | 515s
进度 4790/17922 | 输入 680696 tok | 输出 514161 tok | 费用 ¥1.7090 | 516s
进度 4800/17922 | 输入 682746 tok | 输出 515840 tok | 费用 ¥1.7144 | 520s
进度 4810/17922 | 输入 684703 tok | 输出 517399 tok | 费用 ¥1.7195 | 521s
进度 4820/17922 | 输入 687569 tok | 输出 519836 tok | 费用 ¥1.7272 | 522s
进度 4830/17922 | 输入 689208 tok | 输出 521070 tok | 费用 ¥1.7313 | 523s
进度 4840/17922 | 输入 690994 tok | 输出 522452 tok | 费用 ¥1.7359 | 524s
进度 4850/17922 | 输入 694248 tok | 输出 525331 tok | 费用 ¥1.7449 | 525s
进度 4860/17922 | 输入 695465 tok | 输出 526198 tok | 费用 ¥1.7479 | 527s
进度 4870/17922 | 输入 697245 tok | 输出 527530 tok | 费用 ¥1.7523 | 528s
进度 4880/17922 | 输入 698530 tok | 输出 528499 tok | 费用 ¥1.7555 | 529s
进度 4890/17922 | 输入 700500 tok | 输出 530076 tok | 费用 ¥1.7607 | 532s
进度 4900/17922 | 输入 701601 tok | 输出 530819 tok | 费用 ¥1.7632 | 533s
进度 4910/17922 | 输入 702779 tok | 输出 531640 tok | 费用 ¥1.7661 | 533s
  批次失败(第1次, 深度0): Expecting ',' delimiter: line 1 column 1840 (char 1839); 1s 后重试
进度 4920/17922 | 输入 704913 tok | 输出 533293 tok | 费用 ¥1.7715 | 534s
进度 4930/17922 | 输入 705722 tok | 输出 533813 tok | 费用 ¥1.7733 | 537s
进度 4940/17922 | 输入 706808 tok | 输出 534559 tok | 费用 ¥1.7759 | 539s
进度 4950/17922 | 输入 709699 tok | 输出 536994 tok | 费用 ¥1.7837 | 539s
进度 4960/17922 | 输入 710840 tok | 输出 537767 tok | 费用 ¥1.7864 | 539s
进度 4970/17922 | 输入 711470 tok | 输出 538107 tok | 费用 ¥1.7877 | 542s
进度 4980/17922 | 输入 712609 tok | 输出 538898 tok | 费用 ¥1.7904 | 542s
进度 4990/17922 | 输入 714800 tok | 输出 540797 tok | 费用 ¥1.7964 | 543s
进度 5000/17922 | 输入 715695 tok | 输出 541349 tok | 费用 ¥1.7984 | 543s
进度 5010/17922 | 输入 716962 tok | 输出 542275 tok | 费用 ¥1.8015 | 545s
进度 5020/17922 | 输入 719435 tok | 输出 544387 tok | 费用 ¥1.8082 | 545s
进度 5030/17922 | 输入 720462 tok | 输出 545073 tok | 费用 ¥1.8106 | 547s
进度 5040/17922 | 输入 721126 tok | 输出 545463 tok | 费用 ¥1.8121 | 547s
进度 5050/17922 | 输入 721814 tok | 输出 545857 tok | 费用 ¥1.8135 | 548s
进度 5060/17922 | 输入 723350 tok | 输出 546967 tok | 费用 ¥1.8173 | 548s
进度 5070/17922 | 输入 724080 tok | 输出 547408 tok | 费用 ¥1.8189 | 550s
进度 5080/17922 | 输入 726007 tok | 输出 548960 tok | 费用 ¥1.8239 | 551s
进度 5090/17922 | 输入 726939 tok | 输出 549556 tok | 费用 ¥1.8261 | 551s
进度 5100/17922 | 输入 727585 tok | 输出 549912 tok | 费用 ¥1.8274 | 553s
进度 5110/17922 | 输入 728234 tok | 输出 550277 tok | 费用 ¥1.8288 | 553s
进度 5120/17922 | 输入 729479 tok | 输出 551202 tok | 费用 ¥1.8319 | 553s
进度 5130/17922 | 输入 731725 tok | 输出 553030 tok | 费用 ¥1.8378 | 553s
进度 5140/17922 | 输入 733166 tok | 输出 554152 tok | 费用 ¥1.8415 | 554s
进度 5150/17922 | 输入 734165 tok | 输出 554840 tok | 费用 ¥1.8438 | 555s
进度 5160/17922 | 输入 734989 tok | 输出 555358 tok | 费用 ¥1.8457 | 557s
进度 5170/17922 | 输入 735923 tok | 输出 555996 tok | 费用 ¥1.8479 | 557s
进度 5180/17922 | 输入 736916 tok | 输出 556733 tok | 费用 ¥1.8504 | 557s
进度 5190/17922 | 输入 737982 tok | 输出 557472 tok | 费用 ¥1.8529 | 557s
进度 5200/17922 | 输入 738901 tok | 输出 558063 tok | 费用 ¥1.8550 | 559s
进度 5210/17922 | 输入 740390 tok | 输出 559201 tok | 费用 ¥1.8588 | 561s
进度 5220/17922 | 输入 741871 tok | 输出 560273 tok | 费用 ¥1.8624 | 563s
进度 5230/17922 | 输入 743247 tok | 输出 561303 tok | 费用 ¥1.8659 | 563s
进度 5240/17922 | 输入 745370 tok | 输出 563019 tok | 费用 ¥1.8714 | 566s
进度 5250/17922 | 输入 747488 tok | 输出 564744 tok | 费用 ¥1.8770 | 567s
进度 5260/17922 | 输入 749831 tok | 输出 566633 tok | 费用 ¥1.8831 | 570s
进度 5270/17922 | 输入 752302 tok | 输出 568657 tok | 费用 ¥1.8896 | 572s
进度 5280/17922 | 输入 754275 tok | 输出 570267 tok | 费用 ¥1.8948 | 572s
进度 5290/17922 | 输入 756518 tok | 输出 572033 tok | 费用 ¥1.9006 | 577s
进度 5300/17922 | 输入 760053 tok | 输出 575057 tok | 费用 ¥1.9102 | 578s
进度 5310/17922 | 输入 762566 tok | 输出 577179 tok | 费用 ¥1.9169 | 581s
进度 5320/17922 | 输入 765041 tok | 输出 579233 tok | 费用 ¥1.9235 | 583s
进度 5330/17922 | 输入 767679 tok | 输出 581417 tok | 费用 ¥1.9305 | 583s
进度 5340/17922 | 输入 771805 tok | 输出 584963 tok | 费用 ¥1.9417 | 585s
进度 5350/17922 | 输入 773673 tok | 输出 586489 tok | 费用 ¥1.9467 | 585s
进度 5360/17922 | 输入 775617 tok | 输出 588092 tok | 费用 ¥1.9518 | 589s
进度 5370/17922 | 输入 776919 tok | 输出 589047 tok | 费用 ¥1.9550 | 591s
进度 5380/17922 | 输入 779977 tok | 输出 591580 tok | 费用 ¥1.9631 | 592s
进度 5390/17922 | 输入 781988 tok | 输出 593218 tok | 费用 ¥1.9684 | 592s
进度 5400/17922 | 输入 784964 tok | 输出 595692 tok | 费用 ¥1.9763 | 596s
进度 5410/17922 | 输入 786080 tok | 输出 596477 tok | 费用 ¥1.9790 | 596s
进度 5420/17922 | 输入 787162 tok | 输出 597231 tok | 费用 ¥1.9816 | 597s
进度 5430/17922 | 输入 788750 tok | 输出 598476 tok | 费用 ¥1.9857 | 597s
进度 5440/17922 | 输入 790092 tok | 输出 599499 tok | 费用 ¥1.9891 | 597s
进度 5450/17922 | 输入 793162 tok | 输出 602042 tok | 费用 ¥1.9972 | 599s
进度 5460/17922 | 输入 793761 tok | 输出 602343 tok | 费用 ¥1.9984 | 599s
进度 5470/17922 | 输入 794469 tok | 输出 602771 tok | 费用 ¥2.0000 | 600s
进度 5480/17922 | 输入 795421 tok | 输出 603410 tok | 费用 ¥2.0022 | 600s
进度 5490/17922 | 输入 796391 tok | 输出 604077 tok | 费用 ¥2.0045 | 601s
进度 5500/17922 | 输入 797302 tok | 输出 604665 tok | 费用 ¥2.0066 | 601s
进度 5510/17922 | 输入 798130 tok | 输出 605184 tok | 费用 ¥2.0085 | 602s
进度 5520/17922 | 输入 799332 tok | 输出 606089 tok | 费用 ¥2.0115 | 604s
进度 5530/17922 | 输入 800578 tok | 输出 606971 tok | 费用 ¥2.0145 | 606s
进度 5540/17922 | 输入 802402 tok | 输出 608425 tok | 费用 ¥2.0193 | 610s
进度 5550/17922 | 输入 804620 tok | 输出 610262 tok | 费用 ¥2.0251 | 613s
进度 5560/17922 | 输入 806656 tok | 输出 611923 tok | 费用 ¥2.0305 | 616s
进度 5570/17922 | 输入 808118 tok | 输出 612997 tok | 费用 ¥2.0341 | 617s
进度 5580/17922 | 输入 810727 tok | 输出 615186 tok | 费用 ¥2.0411 | 617s
进度 5590/17922 | 输入 814727 tok | 输出 618664 tok | 费用 ¥2.0521 | 618s
进度 5600/17922 | 输入 818397 tok | 输出 622047 tok | 费用 ¥2.0625 | 618s
进度 5610/17922 | 输入 819509 tok | 输出 622813 tok | 费用 ¥2.0651 | 621s
进度 5620/17922 | 输入 820654 tok | 输出 623592 tok | 费用 ¥2.0678 | 623s
进度 5630/17922 | 输入 821918 tok | 输出 624589 tok | 费用 ¥2.0711 | 623s
进度 5640/17922 | 输入 823007 tok | 输出 625337 tok | 费用 ¥2.0737 | 626s
进度 5650/17922 | 输入 824995 tok | 输出 626916 tok | 费用 ¥2.0788 | 626s
进度 5660/17922 | 输入 828126 tok | 输出 629570 tok | 费用 ¥2.0873 | 627s
进度 5670/17922 | 输入 830445 tok | 输出 631403 tok | 费用 ¥2.0933 | 632s
进度 5680/17922 | 输入 832055 tok | 输出 632604 tok | 费用 ¥2.0973 | 633s
进度 5690/17922 | 输入 833770 tok | 输出 633914 tok | 费用 ¥2.1016 | 633s
进度 5700/17922 | 输入 835527 tok | 输出 635242 tok | 费用 ¥2.1060 | 635s
进度 5710/17922 | 输入 838367 tok | 输出 637638 tok | 费用 ¥2.1136 | 636s
进度 5720/17922 | 输入 839500 tok | 输出 638457 tok | 费用 ¥2.1164 | 638s
进度 5730/17922 | 输入 844492 tok | 输出 642923 tok | 费用 ¥2.1303 | 639s
进度 5740/17922 | 输入 845835 tok | 输出 643917 tok | 费用 ¥2.1337 | 640s
进度 5750/17922 | 输入 847435 tok | 输出 645147 tok | 费用 ¥2.1377 | 641s
进度 5760/17922 | 输入 849326 tok | 输出 646621 tok | 费用 ¥2.1426 | 641s
进度 5770/17922 | 输入 851140 tok | 输出 648085 tok | 费用 ¥2.1473 | 644s
进度 5780/17922 | 输入 851977 tok | 输出 648628 tok | 费用 ¥2.1492 | 644s
进度 5790/17922 | 输入 853686 tok | 输出 649938 tok | 费用 ¥2.1536 | 645s
进度 5800/17922 | 输入 854801 tok | 输出 650750 tok | 费用 ¥2.1563 | 645s
进度 5810/17922 | 输入 855858 tok | 输出 651466 tok | 费用 ¥2.1588 | 648s
进度 5820/17922 | 输入 858350 tok | 输出 653526 tok | 费用 ¥2.1654 | 651s
进度 5830/17922 | 输入 860862 tok | 输出 655657 tok | 费用 ¥2.1722 | 653s
进度 5840/17922 | 输入 862374 tok | 输出 656729 tok | 费用 ¥2.1758 | 654s
进度 5850/17922 | 输入 864317 tok | 输出 658254 tok | 费用 ¥2.1808 | 654s
进度 5860/17922 | 输入 866486 tok | 输出 659924 tok | 费用 ¥2.1863 | 655s
进度 5870/17922 | 输入 869006 tok | 输出 662005 tok | 费用 ¥2.1930 | 655s
